,,,
,,,
,,,
PC-PC,CHAVE 128 bits,String,
No Exp.,Tempo criptografia cliente:,Tempo decriptografia cliente em ms:,Tempo de envio entre os nos em ms:
13,5.0068E-06,5.0068E-06,0.000316143
14,1.40667E-05,1.38283E-05,0.0009469986
15,5.9605E-06,7.1526E-06,0.0005209446
16,1.09673E-05,6.9141E-06,0.0005440712
17,5.9605E-06,5.9605E-06,0.0004389286
18,5.9605E-06,5.0068E-06,0.0003240108
19,5.9605E-06,4.0531E-06,0.0003240108
20,1.28746E-05,8.1062E-06,0.0025370121
21,6.9141E-06,4.0531E-06,0.0003590584
22,7.1526E-06,5.0068E-06,0.00035882
23,8.1062E-06,5.9605E-06,0.0006270409
24,6.9141E-06,1.19209E-05,0.0005760193
25,8.1062E-06,6.9141E-06,0.0006999969
