,,
,,
,,
PC-PC,CHAVE 128 bits,String
No Exp.,Tempo decriptografia server em ms:,Tempo criptografia server em ms:
62,1.5974E-05,5.0068E-06
63,1.09673E-05,3.0994E-06
64,1.3113E-05,2.861E-06
65,1.69277E-05,5.0068E-06
66,1.3113E-05,4.0531E-06
67,1.90735E-05,3.0994E-06
68,1.3113E-05,2.861E-06
69,1.28746E-05,3.0994E-06
70,1.3113E-05,2.861E-06
71,1.3113E-05,3.0994E-06
72,1.19209E-05,4.0531E-06
73,1.69277E-05,5.0068E-06
74,1.5974E-05,4.0531E-06
75,1.3113E-05,4.0531E-06
76,1.69277E-05,5.0068E-06
77,2.31266E-05,5.9605E-06
78,1.21593E-05,3.8147E-06
79,1.40667E-05,2.861E-06
80,1.21593E-05,3.8147E-06
81,1.5974E-05,5.0068E-06
82,1.78814E-05,3.0994E-06
83,1.19209E-05,3.0994E-06
84,1.71661E-05,5.0068E-06
85,1.5974E-05,5.0068E-06
86,1.19209E-05,3.0994E-06
87,1.5974E-05,5.0068E-06
88,1.3113E-05,4.0531E-06
89,1.71661E-05,4.0531E-06
90,1.40667E-05,4.0531E-06
91,1.62125E-05,5.0068E-06
92,1.5974E-05,5.0068E-06
93,1.28746E-05,4.0531E-06
94,1.5974E-05,5.0068E-06
95,1.3113E-05,2.861E-06
96,1.69277E-05,3.0994E-06
97,1.69277E-05,5.0068E-06
98,1.28746E-05,3.0994E-06
99,1.28746E-05,4.0531E-06
100,1.5974E-05,5.0068E-06
